wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
12C2XwnsUXqaAYqNuYKqb1xHuHAw1x121s,False,0,10000000,10000000,1
12mds3t1Y8uSi1ZPDbj28cojtwsgNSDJGz,False,0,347613,347613,1
12UCxnR4gkjC6dogMXZUK9GAiWYkPXJM6F,False,0,1148077,1148077,1
12LKFr67QV4bX3zoZT5NUCEh6G8uwbDxoZ,False,0,1014440,1014440,1
11jdXeFgphEVrWfMbbjzd2ePpJtZBC6GK,False,996464,1554185,557721,3
12jf3gXuxAQdn2bP9MMFMPpkv8Qyg1iH9A,False,0,187570,187570,1
12DFLqcWFS2oh8JjgHXVRMWcysEQ1MygBg,False,2253849,2253849,0,2
12o4JbTNZCh8ouBkCRYJ1aoR1PqT34zvcT,False,0,11479,11479,1
12hJFqChsFcBdmjTXUKJcaQLvd32dfyDAd,False,0,5360,5360,1
12YBnvofDPup1mVed7VTqG36yvgCWo26Ff,False,0,1000,1000,1
12dP5ueiXEq9kogBmpVzJ1Cgtyc1jYP7Ww,False,0,100000,100000,1
114vm35SUQnjQv31ND9jYbMiQ38E5bQyy8,False,0,22440,22440,1
12NS6CwwNmgcg2BE4LT6dgtutAJLrjapdN,False,36944560,37037052,92492,12
113eZDib9GFP45WiFHxv6K96rG39mbMzxg,False,0,370260,370260,1
12cm1diWXbRBBdpLaA7YtAVUWaA3umQW3x,False,0,111632,111632,1
12Luyaa1Kc2kgtC96qEfymsQaNEUXNiRK2,False,0,1621528,1621528,1
12D1pvPn7SNMMPeQaDaSRALqepJx28dpGy,False,0,24941,24941,1
12hFYFpT74pkWYgy4JZrfudwCG8besZYYc,False,0,2066,2066,1
12BE55LR3TDCGXMV3rr5Je6pakysxnYYb2,False,210000000,246043450,36043450,3
12AsweMmGhNd5Ewt5ZmuBK74B4xaN31qF7,False,0,1877671,1877671,1
12kSnyVMmf9awNJR8Kj9NRsBEJBikLUGb5,False,15000,21000,6000,4
123kY7XePEqKsi1GnH2zcnD67HEaic8SoF,False,170524419,174487856,3963437,61
12GeeE9mP7AMW42ccpmvxFomSPSk53k75W,False,0,100000,100000,1
123VE3Fa7v7knTmwoDUYhD9X9wZh1f2Doh,False,1146,1692,546,5
12K5TZubUUtjnKzx3YanGop1ekMRCv6hg8,False,0,41252,41252,1
12qsSQaqAXrnN3mCJMiHSrKPvascRF4y2v,False,0,38,38,1
12tH69AAUsxcxKgwBC7ZCqcLAWBw5pRaeG,False,0,103551,103551,1
114b3LQqjF8bcdchcYf9mwYbGZy4NKAzXr,False,0,27000,27000,1
12fMz2RrxsBWCxbMFCpLDLHvxpZH2tQPeG,False,0,19381284,19381284,1
121BUwrX6cnhoB297pGoQiawanwYpSMxks,False,0,10000,10000,1
12XhaX4hMzBWA7b5FJN4ZG8ZeJPe2cLdHU,False,0,1000000,1000000,1
127jVcz6WVwPFnVmcyEbn5KZh61P913vPz,False,0,1,1,1
12K6RNJT3pz2WuSMJW2Tpxse8K88csKFCx,False,0,97828,97828,1
11atpnxFZEt6DyMH8esz6az7shdQanR26,False,0,234003,234003,1
12c8ukbLzM8aJiBq9xbtUaoaiF2jccw1V2,False,0,4665,4665,1
12p2bB2xnmhdxkS24sXGhB4bvj4qSByzqn,False,0,41000,41000,1
12Z8JChubgdExNGqa83UyWV1d3wfkGCV2z,False,0,12849,12849,1
12j8xLF5prf93a1fosBDYHnwoX52bA3Uax,False,0,1000,1000,1
