wallet_address,malicious,bitcoin_spent,bitcoin_received,total_balance,total_transactions
112rwUUJhCdqkXoYXQN3cVbitLhdyNKP5T,FALSE,16500,500546,484046,3
112ZfUBKyr4c87LLrEYiwUKxnSuCx2N1a1,FALSE,10986100,10986101,1,3
112fLREKPQy9E6w6v1ZkVdCTeGKDoxcWbR,FALSE,138894,157894,19000,13
113hTzWmovJPnJzq3tbkj6ieEquufTWVad,FALSE,0,9884,9884,1
113CmNVrK77ZxuWbSw16noDA4Z1uNUc49a,FALSE,1309911,1309911,0,2
1111F8tE8v1Y1twLmJ8i5ck9JdSFGYhn1,FALSE,416000,802000,386000,28
112DC2TEwzvXN8aTqMd581vFsEX2y8HRqx,FALSE,12000,13092,1092,6
1123xjpYyJxCAZnLpgxzeQoMZvAwBiKKds,FALSE,2000,2000,0,2
112YQTCodnhgEQ2VKcWXknewZ8KP4Kq1Co,FALSE,0,2059,2059,1
112yMa1dJ5fLBbktwMQM4EQ6Vj6YkppeTZ,FALSE,0,13736,13736,1
113XZiE62bnyHo7KUviSWxcxr2WWZbaJyz,FALSE,0,939,939,1
113MMfMBDKSWVGTbiszyuTLDhxRApJica9,FALSE,5277,18823,13546,3
112gQwXVJXBC4swUREouGksfkDSmh6tEzS,FALSE,3576947,4671947,1095000,88
1131LyQfFboojuvBXXcGBuaSTdkoLsjP97,FALSE,0,289430,289430,1
113iTwroGFhoK9odgSZgUhQXVjByWoRCjg,FALSE,0,1900000,1900000,1
113Wkkhit9hdE1DX2VqCSoKygfs4pvi3fW,FALSE,0,312048,312048,1
112CUuqQgZomduP1YLuQaVTyxERc2eN1a,FALSE,0,1000,1000,1
112AEAthqCDJcJBRjRhuvVTX3A3L9XJGTE,FALSE,0,12392,12392,1
112ZA91V9FDjuNzJErPQySWUpsZrGbogCB,FALSE,1634760,1634760,0,2
112gypt8UyZjNwNge1EzFEf3BEG8yt2f1c,FALSE,0,6026723,6026723,1
113VaZTwi5yNL2REmsceqqSrfrsNLWntfw,FALSE,546,1092,546,3
113wRKUEnYp1vXdogNC7Av1bZeX4mcK5mY,FALSE,0,23002,23002,1
113WBEbZ62mAQjBXA28RtpKmXUorHGxLqr,FALSE,0,2730,2730,1
