wallet_address,malicious,malicious_type,bitcoin_spent,bitcoin_received,total_balance,total_transactions
1JRCbCH9E3iLhSXPTqtkgfAsJNT2xD74C5,TRUE,4,44227300,44227300,0,10
13hjTSbwVJfsDgL3qaQSu3fs2qmHQCHRXT,TRUE,4,7239089301,7239730554,641253,1349
1122NYbAT2KkZDZ5TFvGy4D2Ut7eYfx4en,TRUE,4,48551833,48561833,10000,4
1KzMDhZLokkNd1kcxs2mgwXm97pVvnfRBC,TRUE,4,46119982,46119982,0,4
1971pHPgLaTmuYtoH4BsGSfFMZaAjotium,TRUE,4,74558288,74558288,0,6
1A4ffsLWPYC8n7Dq4s4aiY5mzG4szuHx3M,TRUE,4,54511347,54511347,0,5
1Lmk4eUXcmtVU6YQvaPJ4yihu4fEcKtkby,TRUE,4,28957951,28957951,0,3
1P7bLeCJywaaDRQpT7iwb4qzUHa4CpRFyP,TRUE,4,85463782,85463782,0,11
1EFBBqVxZ4H71TJXJDD7KNPpWMs35kTdVw,TRUE,4,77535047,77535047,0,5
1GJpCgFzGEFn3YK4PKn87q6auweN3zM4Sw,TRUE,4,88159305,88159305,0,15
1LegBoS8sKbUyDqu9SSA3xpYTkTVYUf97p,TRUE,4,90138000,90138000,0,27
1PXQQJ6vmLviMNX5tcYd1E5XFwT8DXW1wG,TRUE,4,3784,3784,0,2
1HpREEx9iJ9gK3Xk5vVs9R1XBEm2hrCZp7,TRUE,4,19527914,19527914,0,8
18844y2xjXPXPLjxDGf3rd8bsgfnaH292d,TRUE,4,17504341,17504341,0,2
1Cp58Jap4xebt18RM7bcVCkFZtTFPLBf6r,TRUE,4,3784,3784,0,2
1WLEChY6S7S97m5voZZtbQcwiEYeSNsja,TRUE,4,132971045,132971045,0,19
1PWkGaj53fhxJH4mmB5iF6MuF4MysKDKuu,TRUE,4,22251045,22251045,0,5
189o8tq3akkw84epJzFs9fZvU1AgbY6q55,TRUE,4,3981,3981,0,2
12XrJbz95UZW9THMhcoRo2GKt7qFJVjiDp,TRUE,4,11855,11855,0,4
1NWybUp8ZJXKyDg2DR5MaePspforMPYbM3,TRUE,4,181236018,181236018,0,28
1N2XZZDW5ofnyok6HawSaqzjBVFH5LNr74,TRUE,4,169818709,169818709,0,12
1Kp7J8BKmuvmR3FzpqSXmVBA8EaoRA26fr,TRUE,4,20692521,20692521,0,4
1PxV5n9VJcEYaGRKdJLPwEapsDcYHGS76B,TRUE,4,23749174,23749174,0,2
1HjeDCAaEdd5JRDPHVgmLsCC7DsyHhYwM1,TRUE,4,334949663,334949663,0,23
1RcPmWuWP1Bowb5jA1NM7wyomb6R6Pg6j,TRUE,4,16851901,16851901,0,10
1CVkdrL8G1NjaTKw2JPXBiW86QgenJvhb8,TRUE,4,10866,10866,0,2
14VbGhtysr6wrNs7EhdKiS2NoMmMDBM8cn,TRUE,4,63078336,63078336,0,6
1A7nmeXMjFd8unyg9hopifwBRpWu5MpqQw,TRUE,4,433503,433503,0,2
1PywiFKqQePnG6UqXdwKmvPZfJYAzowEDj,TRUE,4,45591000,45591000,0,7
1JwRp2J8bQcoG8XTUbxQZaEj9QB4RB6zEa,TRUE,4,27438546,27438546,0,5
14XMwrqXdhz6YnShUuW37dTrKmpMFbJDHL,TRUE,4,27990000,27990000,0,2
1P55eXM8gxmwjSbqEpBWLBBvJQ7C1BmRH3,TRUE,4,24437340,24437340,0,3
1C7VNRZmHZJQQJ5Et2rUqgUv7THuug8rd6,TRUE,4,20256568,20256568,0,5
1AEBpNUXydgC6H3PSD9b19az12W9wPa3Kx,TRUE,4,104000,104000,0,2
1FFhC45ACeAtPAoEFusMUQRXefcideEnN,TRUE,4,167338372,167338372,0,24
1292tZj4921PqE1ikjd4m5hmZd4RuVzdpF,TRUE,4,67362125,67362125,0,5
1PRUG1TrBWKLpvMJYfYXhZVSDagSySqXuz,TRUE,4,30511933,30511933,0,12
1BcffG8tjRN49ovP948nC8WARmDPNomu5X,TRUE,4,60811176,60811176,0,8
1AgKqK3LHyJuLKzbK2wd4nuxAJ2GJ84maZ,TRUE,4,0,700,700,1
1L5SWCu4ZTLiyPyTAvfSVjhKrYNSnYgBKk,TRUE,4,0,700,700,1
1MbdGY1LVr6gEjyN3Rok5HQDQcjWbYmLds,TRUE,4,70867328,70867328,0,9
1NsuTWwnyA3QGUGXJgMn1B6Dj3GZBg4LAM,TRUE,4,289076214,289076214,0,22
18QJdD5yWJyjeAapaSZEPoCQE84ncxwLAq,TRUE,4,122819209,122819209,0,17
1HmfBw9qkqYbKzJFd1LJrdR5D3UWJe1vAN,TRUE,4,214519183,214519183,0,18
1EdX5vtBiHGmkqbJc7VRSuVMx9Kpgh53Tp,TRUE,4,157750451,157750451,0,12
18QtUZKEsuY9gvviSsZCweyPRLSDndU6Xu,TRUE,4,120111208,120111208,0,10
1JmfaVr3x5fRKRmuhUBpWNQFy51Sfo4T6u,TRUE,4,82606344,82606344,0,7
127fnd1eojhha6ym6uXhhYkphvgY3AMTcU,TRUE,4,3304308,3304308,0,2
1HvS4XXSrcVQ1UjaMteu9Mbo9WMJfjaacq,TRUE,4,14917221,14917221,0,4
17viZFKw1Xn8WQcpC6GwLqjzLTcE7qBJ93,TRUE,4,42395108,42395108,0,6
12RV4LzVgWN43D1kTL9PhDxuKwGEP15PK4,TRUE,4,100937397,100937397,0,15
